"Date","Price","Open","High","Low","Vol.","Change %"
"01-09-2004","1,478.75","1,382.55","1,484.45","1,373.95","","7.37%"
"01-08-2004","1,377.20","1,357.35","1,381.25","1,312.50","","1.91%"
"01-07-2004","1,351.45","1,252.45","1,356.70","1,214.65","","8.29%"
"01-06-2004","1,248.00","1,245.50","1,293.80","1,184.10","","1.75%"
"01-05-2004","1,226.55","1,508.20","1,547.60","1,087.15","","-18.64%"
"01-04-2004","1,507.55","1,457.95","1,606.50","1,457.95","","3.43%"
"01-03-2004","1,457.50","1,448.75","1,544.15","1,362.70","","1.02%"
"01-02-2004","1,442.80","1,460.50","1,555.75","1,393.55","","-1.16%"
"01-01-2004","1,459.80","1,542.45","1,667.80","1,417.70","","-4.67%"
"01-12-2003","1,531.35","1,299.60","1,555.30","1,298.20","","19.13%"
"01-11-2003","1,285.40","1,226.40","1,297.85","1,201.25","","5.51%"
"01-10-2003","1,218.30","1,140.20","1,242.30","1,136.30","","7.00%"
"01-09-2003","1,138.55","1,106.00","1,157.00","1,022.55","","3.46%"
"01-08-2003","1,100.45","942.85","1,105.60","934.40","","17.25%"
"01-07-2003","938.55","897.85","950.50","875.60","","4.92%"
"01-06-2003","894.50","806.95","900.95","805.55","","10.82%"
"01-05-2003","807.20","698.90","813.50","697.10","","15.78%"
"01-04-2003","697.20","701.20","744.80","687.45","","-0.59%"
"01-03-2003","701.35","767.95","769.25","699.55","","-7.96%"
"01-02-2003","762.00","752.00","768.75","739.80","","1.72%"
"01-01-2003","749.10","774.95","786.60","739.55","","-3.07%"
"01-12-2002","772.85","745.45","778.20","735.60","","4.22%"
"01-11-2002","741.55","695.95","742.95","691.45","","7.17%"
"01-10-2002","691.95","689.50","715.20","670.55","","0.14%"
"01-09-2002","691.00","743.25","745.65","689.85","","-6.26%"
"01-08-2002","737.15","711.90","743.50","696.35","","4.32%"
"01-07-2002","706.65","775.70","800.45","692.90","","-8.57%"
"01-06-2002","772.85","743.85","801.30","743.85","","4.50%"
"01-05-2002","739.55","776.35","803.80","721.10","","-4.12%"
"01-04-2002","771.30","780.40","805.10","760.80","","-0.54%"
"01-03-2002","775.50","771.20","809.30","767.90","","1.03%"
"01-02-2002","767.60","718.70","815.35","717.70","","7.43%"
"01-01-2002","714.50","704.45","741.15","695.30","","1.98%"
"01-12-2001","700.60","702.60","760.75","663.95","","-0.37%"
"01-11-2001","703.20","627.25","722.50","626.15","","13.02%"
"01-10-2001","622.20","584.20","637.85","560.40","","6.62%"
"01-09-2001","583.55","686.85","688.80","541.80","","-14.71%"
"01-08-2001","684.20","697.30","707.30","684.20","","-1.84%"
"01-07-2001","697.05","727.75","733.25","679.45","","-3.97%"
"01-06-2001","725.85","791.95","795.50","692.15","","-8.24%"
"01-05-2001","791.00","756.75","819.80","731.70","","6.00%"
"01-04-2001","746.20","733.05","779.50","645.70","","-1.06%"
"01-03-2001","754.20","950.60","981.95","731.40","","-20.80%"
"01-02-2001","952.30","981.15","1,028.45","901.70","","-2.95%"
"01-01-2001","981.20","912.85","999.70","902.20","","7.49%"
